Repo,File,Method,Start,End,JavaDoc,Lines,Check,Magic,Unsupported,Style Errors
myfileio,MyFileIO.java,getFileHandle,34,39,true,6,true,false,false,0
myfileio,MyFileIO.java,createEmptyFile,59,80,true,22,true,false,false,0
myfileio,MyFileIO.java,deleteFile,99,117,true,19,true,false,false,0
myfileio,MyFileIO.java,checkFileStatus,148,175,true,27,true,false,false,0
myfileio,MyFileIO.java,openFileReader,186,194,true,9,true,false,false,0
myfileio,MyFileIO.java,openFileWriter,205,213,true,9,true,false,false,0
myfileio,MyFileIO.java,openBufferedReader,221,228,true,8,true,false,false,0
myfileio,MyFileIO.java,openBufferedWriter,236,243,true,8,true,false,false,0
myfileio,MyFileIO.java,closeFile,252,260,true,6,false,false,false,0
myfileio,MyFileIO.java,closeFile,269,277,true,7,false,false,false,0
myfileio,MyFileIO.java,closeFile,286,293,true,6,false,false,false,0
myfileio,MyFileIO.java,closeFile,302,310,true,7,false,false,false,0
myfileio,MyFileIO.java,main,312,347,false,27,false,false,false,0
